Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
lloydbank-online-secures.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
tomandson.com,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,1
gcsnc-v.cf,0,0,1,4,0,0,0,1,0,1,1,1,1,1,1,1
blog.gruszka.info,0,0,0,3,0,0,0,0,0,0,1,1,1,1,1,1
alertabancon.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
theparlor.shop,0,1,1,2,0,0,0,0,0,1,1,1,1,1,1,1
avadvertising.in,0,0,1,4,0,0,0,0,0,0,1,1,1,1,1,1
mobsuemil.com,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1,1
lookdigital.co,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1
whatsapps.instanthq.com,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
lnkd.in,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
lnkd.in,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
betasusgiri.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
k8923.csb.app,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
onlinepromerica5.byethost8.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
rc.frostbit.cz,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1
comunicationnationalschool.blogspot.com,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1
usps-delivery-support.logitel.com.au,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
absolute.servepics.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
relevant.systems,0,1,1,7,1,0,0,0,0,0,1,1,1,1,1,1
commandes.site,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1
113.161.144.143:8082,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1
bitcoinbro.pavanhyundai.com,0,1,1,2,0,0,0,0,0,0,1,1,1,1,1,1
wallectconnect.co,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
centec-am.com.br,0,0,1,3,0,0,0,1,0,1,0,1,1,1,1,1
httpsservices.runescape.com-tp.ru,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
paydashtracker.private-monitoring.tk,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1
jbshtl.secure52serv.com,0,0,1,4,0,0,0,0,0,0,1,1,1,1,1,1
99000.ihostfull.com,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
misunderstanding.servebeer.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
mjaymu1hetezmtj0aa.filesusr.com,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1
linktr.ee,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
o2-service-charge.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
readinginlipstick.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
lloydsbank.online-security-auth-verify.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
lms.ozyegin.edu.tr,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1
exitdiabetes.info,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1
www-office-com.office365.qacust1.fpcasbdev.com,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1
usr.eaglecaravansaustralia.com.au,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1
veronikastringquartet.com,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1
app-informativo-online.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
unaltered-oscillati.000webhostapp.com,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
tcaconnect.ac-page.com,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1
secure-runescape.xgm.rnp.mybluehost.me,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
gatjooking.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1
ebay.com-itm.345564563.rocks,0,0,1,2,0,0,0,1,0,1,1,1,1,1,1,1
markbids.com,0,0,1,5,0,0,0,0,0,0,0,1,1,1,1,1
ajanspir.com,0,0,1,8,0,0,0,0,1,1,1,1,1,1,1,1
rempitem.agilecrm.com,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1
secure.runescape.rs-xsz.xyz,0,0,1,2,0,0,0,1,0,1,1,1,1,1,1,1
orlenencourage.club,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
srnbc.card.vsnviwxcs.asia,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
app.simplenote.com,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,1
frigoglass.org,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
rakuten.co.jp.oadkxoe.cf,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
poligrafiapias.com,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1
ktpn.kalisz.pl,0,1,1,2,0,0,0,0,0,0,1,1,1,1,1,1
estetika2z.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1
sharelink.sn.am,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
